,query_word,word
0,assault,attack
1,assault,sexual assault
2,assault,rape
3,assault,battery
4,assault,violation
5,assault,offensive
6,assault,ravishment
7,assault,assail
8,assault,round
9,assault,snipe
10,assault,lash out
11,assault,assault and battery
12,assault,set on
13,assault,stabbing
14,assault,burglary
15,assault,incident
16,assault,robbery
17,assault,harassment
18,assault,invasion
19,assault,attacks
20,assault,onslaught
21,assault,raid
22,assault,mugging
23,assault,attacking
24,assault,abuse
25,assault,violence
26,assault,incursion
27,assault,bombing
28,assault,molestation
29,assault,siege
30,assault,wounding
31,assault,firefight
32,assault,aggressor
33,assault,stab
34,assault,aggression
35,assault,offense
36,assault,breach
37,assault,beating
38,assault,insult
39,assault,affront
40,assault,aggressions
41,assault,battle
42,assault,gunpoint
43,assault,storming
44,assault,infringement
45,assault,encroachment
46,assault,strike
47,assault,blast
48,assault,bullying
49,assault,violent
50,assault,raiding
51,assault,victimization
52,assault,blow
53,assault,injury
54,assault,savagely
55,assault,commando
56,assault,slap
57,assault,blitz
58,assault,coercion
59,assault,banging
60,assault,storm
61,assault,harm
62,assault,outrage
63,assault,stroke
64,assault,beat
65,assault,surprise
66,assault,coups
67,assault,mug
68,assault,stress
69,assault,stresses
70,assault,non-aggression
71,assault,indecent assault
72,assault,felony
73,assault,affray
74,assault,murder
75,assault,arson
76,assault,malicious mischief
77,assault,assailant
78,assault,manslaughter
79,assault,trespass
80,assault,arrest
81,assault,homicide
82,assault,larceny
83,assault,statutory rape
84,assault,misdemeanor
85,assault,theft
86,assault,ambush
87,assault,aggravated assault
88,assault,altercation
89,assault,armed robbery
90,burglary,carjacking
91,burglary,assault
92,burglary,heist
93,burglary,stealing
94,burglary,stickup
95,burglary,steal
96,burglary,looting
97,burglary,banditry
98,burglary,breaking
99,burglary,rustling
100,burglary,demolition
101,burglary,burst
102,burglary,blasting
103,burglary,break-in
104,burglary,grand larceny
105,burglary,petty larceny
106,burglary,vandalism
107,burglary,break in
108,burglary,burglar alarm
109,burglary,crime
110,burglary,shoplifter
111,burglary,thief
112,burglary,intruder
113,burglary,holdup
114,burglary,identity theft
115,burglary,embezzlement
116,burglary,criminal
117,burglary,offender
118,burglary,police
119,burglary,accomplice
120,burglary,felon
121,burglary,burglars
122,burglary,shoplifting
123,burglary,grand theft
124,burglary,petit larceny
125,burglary,prowler
126,burglary,safecracking
127,burglary,disorderly conduct
128,burglary,resisting arrest
129,burglary,indecent exposure
130,burglary,larcenist
131,burglary,larcener
132,burglary,burglar
133,burglary,trespassing
134,burglary,false imprisonment
135,burglary,forgery
136,burglary,robbers
137,burglary,housebreaking
138,burglary,peeping tom
139,burglary,dfc
140,burglary,parolee
141,burglary,burgle
142,burglary,vandal
143,burglary,carjack
144,burglary,detectives
145,burglary,search warrant
146,burglary,carnal abuse
147,burglary,juveniles
148,burglary,asportation
149,burglary,breaking and entering
150,burglary,kidnapping
151,burglary,knifepoint
152,burglary,criminal possession
153,burglary,disorderly behavior
154,burglary,crowbar
155,burglary,maybush
156,burglary,shootings
157,burglary,personation
158,burglary,criminal contempt
159,burglary,bolt cutter
160,burglary,police headquarters
360,crime,law-breaking
361,crime,criminality
362,crime,criminals
363,crime,cybercrime
364,crime,offenses
365,crime,offenders
366,crime,perpetrator
367,crime,lawlessness
368,crime,slaying
369,crime,fraud
370,crime,heinous
371,crime,delinquency
372,crime,assassination
373,crime,scourge
374,crime,criminalization
375,crime,offending
376,crime,scene
377,crime,penal
378,crime,criminalisation
379,crime,shooting
380,crime,sin
381,crime,guilt
382,crime,case
383,crime,racketeering
384,crime,infraction
385,crime,delict
386,crime,killing
387,crime,wrongdoing
388,crime,evil
389,crime,laundering
390,crime,breaches
391,crime,violations
392,crime,infractions
393,crime,charge
394,crime,misdemeanour
395,crime,offences
396,crime,guilty
397,crime,tort
398,crime,mastermind
399,crime,phenomenon
400,crime,committed
401,crime,torts
402,crime,contravention
403,crime,divisional
404,crime,offence
405,crime,brott
406,crime,contraventions
407,crime,infringements
408,crime,wrong-doing
409,crime,terrorism
410,crime,prostitution
411,crime,corruption
412,crime,law enforcement
413,crime,malefaction
414,crime,murders
415,crime,criminalness
416,crime,capital offense
417,crime,drug trafficking
418,crime,mail fraud
419,crime,burglaries
420,crime,robberies
421,crime,gangs
422,crime,truancy
423,crime,rapes
424,crime,recidivism
425,crime,misdoer
426,crime,unlaw
427,crime,gangland
428,crime,criminal conversation
429,crime,thefts
430,crime,infelonious
431,criminal,felonious
432,criminal,illegal
433,criminal,reprehensible
434,criminal,crook
435,criminal,malefactor
436,criminal,deplorable
437,criminal,condemnable
438,criminal,outlaw
439,criminal,prosecution
440,criminal,crimes
441,criminal,civil
442,criminal,legal
443,criminal,terrorist
444,criminal,indictable
445,criminal,judicial
446,criminal,unlawful
447,criminal,wrongful
448,criminal,court
449,criminal,law
450,criminal,prison
451,criminal,criminological
452,criminal,punitive
453,criminal,malicious
454,criminal,gangster
455,criminal,murderous
